emoji,unicode,name_en,name_id,alias,emoji_clean,has_skin_tone,category,aliases
🏃🏽‍♀️,🏃🏽‍♀️,woman_running_medium_skin_tone,wanita_berlari_warna_kulit_sedang,wanita_berlari_warna_kulit_sedang_kaki_lari_perempuan,\U0001f3c3\U0001f3fd\u200d\u2640\ufe0f,True,woman_running_medium_skin,"['wanita', 'berlari', 'warna', 'kulit', 'sedang', 'kaki', 'lari', 'perempuan']"
🏃🏾‍♀️,🏃🏾‍♀️,woman_running_medium-dark_skin_tone,wanita_berlari_warna_kulit_gelap-sedang,wanita_berlari_warna_kulit_gelap-sedang_kaki_lari_perempuan,\U0001f3c3\U0001f3fe\u200d\u2640\ufe0f,True,woman_running,"['wanita', 'berlari', 'warna', 'kulit', 'gelap-sedang', 'kaki', 'lari', 'perempuan']"
🏃🏿‍♀️,🏃🏿‍♀️,woman_running_dark_skin_tone,wanita_berlari_warna_kulit_gelap,wanita_berlari_warna_kulit_gelap_kaki_lari_perempuan,\U0001f3c3\U0001f3ff\u200d\u2640\ufe0f,True,woman_running_dark_skin,"['wanita', 'berlari', 'warna', 'kulit', 'gelap', 'kaki', 'lari', 'perempuan']"
💃🏻,💃🏻,woman_dancing_light_skin_tone,wanita_menari_warna_kulit_cerah,wanita_menari_warna_kulit_cerah_dansa_perempuan_pesta_tari,\U0001f483\U0001f3fb,True,woman_dancing_light_skin,"['wanita', 'menari', 'warna', 'kulit', 'cerah', 'dansa', 'perempuan', 'pesta', 'tari']"
💃🏼,💃🏼,woman_dancing_medium-light_skin_tone,wanita_menari_warna_kulit_cerah-sedang,wanita_menari_warna_kulit_cerah-sedang_dansa_perempuan_pesta_tari,\U0001f483\U0001f3fc,True,woman_dancing,"['wanita', 'menari', 'warna', 'kulit', 'cerah-sedang', 'dansa', 'perempuan', 'pesta', 'tari']"
💃🏽,💃🏽,woman_dancing_medium_skin_tone,wanita_menari_warna_kulit_sedang,wanita_menari_warna_kulit_sedang_dansa_perempuan_pesta_tari,\U0001f483\U0001f3fd,True,woman_dancing_medium_skin,"['wanita', 'menari', 'warna', 'kulit', 'sedang', 'dansa', 'perempuan', 'pesta', 'tari']"
💃🏾,💃🏾,woman_dancing_medium-dark_skin_tone,wanita_menari_warna_kulit_gelap-sedang,wanita_menari_warna_kulit_gelap-sedang_dansa_perempuan_pesta_tari,\U0001f483\U0001f3fe,True,woman_dancing,"['wanita', 'menari', 'warna', 'kulit', 'gelap-sedang', 'dansa', 'perempuan', 'pesta', 'tari']"
💃🏿,💃🏿,woman_dancing_dark_skin_tone,wanita_menari_warna_kulit_gelap,wanita_menari_warna_kulit_gelap_dansa_perempuan_pesta_tari,\U0001f483\U0001f3ff,True,woman_dancing_dark_skin,"['wanita', 'menari', 'warna', 'kulit', 'gelap', 'dansa', 'perempuan', 'pesta', 'tari']"
🕺🏻,🕺🏻,man_dancing_light_skin_tone,pria_menari_warna_kulit_cerah,pria_menari_warna_kulit_cerah_berdansa_dansa,\U0001f57a\U0001f3fb,True,man_dancing_light_skin,"['pria', 'menari', 'warna', 'kulit', 'cerah', 'berdansa', 'dansa']"
🕺🏼,🕺🏼,man_dancing_medium-light_skin_tone,pria_menari_warna_kulit_cerah-sedang,pria_menari_warna_kulit_cerah-sedang_berdansa_dansa,\U0001f57a\U0001f3fc,True,man_dancing,"['pria', 'menari', 'warna', 'kulit', 'cerah-sedang', 'berdansa', 'dansa']"
🕺🏽,🕺🏽,man_dancing_medium_skin_tone,pria_menari_warna_kulit_sedang,pria_menari_warna_kulit_sedang_berdansa_dansa,\U0001f57a\U0001f3fd,True,man_dancing_medium_skin,"['pria', 'menari', 'warna', 'kulit', 'sedang', 'berdansa', 'dansa']"
🕺🏾,🕺🏾,man_dancing_medium-dark_skin_tone,pria_menari_warna_kulit_gelap-sedang,pria_menari_warna_kulit_gelap-sedang_berdansa_dansa,\U0001f57a\U0001f3fe,True,man_dancing,"['pria', 'menari', 'warna', 'kulit', 'gelap-sedang', 'berdansa', 'dansa']"
🕺🏿,🕺🏿,man_dancing_dark_skin_tone,pria_menari_warna_kulit_gelap,pria_menari_warna_kulit_gelap_berdansa_dansa,\U0001f57a\U0001f3ff,True,man_dancing_dark_skin,"['pria', 'menari', 'warna', 'kulit', 'gelap', 'berdansa', 'dansa']"
🕴🏻,🕴🏻,person_in_suit_levitating_light_skin_tone,pria_melayang_mengenakan_jas_warna_kulit_cerah,pria_melayang_mengenakan_jas_warna_kulit_cerah_bisnis_laki-laki,\U0001f574\U0001f3fb,True,person_in_suit_levitating_light_skin,"['pria', 'melayang', 'mengenakan', 'jas', 'warna', 'kulit', 'cerah', 'bisnis', 'laki-laki']"
